"","V1"
"1",0.999999882814272
"2",1.00109039965212
"3",1.00004113754253
"4",0.998908948854443
"5",1.00197881807962
"6",0.999073104609796
"7",1.00117498047846
"8",0.997264679437883
"9",1.00162015811273
"10",1.0026647980028
"11",1.00166646090497
"12",1.00042212858999
"13",1.00111921553078
"14",1.00213679541301
"15",1.00377935024918
"16",1.00552703899939
"17",1.00631054220642
"18",1.00639573197507
"19",1.0091958221386
"20",1.01523062390549
"21",1.01681390390451
"22",1.02084537332544
"23",1.02389369250125
"24",1.02457125848981
"25",1.0275872837463
"26",1.03118280807163
"27",1.03878055863074
"28",1.04106784970201
"29",1.04108969962561
"30",1.0426956629946
"31",1.03929149355906
"32",1.03963105960406
"33",1.04084881278864
"34",1.03227227554642
"35",1.03042648602149
"36",1.02363377931225
"37",1.01712411818818
"38",1.0097570709615
"39",1.00379691170035
"40",0.99830175282875
