"","V1"
"1",1.00407432309119
"2",1.00565733817238
"3",0.996121640549539
"4",1.00590934208834
"5",1.00313722281925
"6",1.00191352237901
"7",1.00279102918527
"8",1.00698637190629
"9",1.00278638833519
"10",1.00460662904323
"11",1.00683127807851
"12",1.00452158117233
"13",1.00890876424609
"14",1.00782361753005
"15",1.00499206548737
"16",1.00966211139907
"17",1.00668690035881
"18",1.00791715353642
"19",1.00865400850298
"20",1.01130899312319
"21",1.01067021367009
"22",1.00864047534487
"23",1.01146927742784
"24",1.010561003568
"25",1.01324745327722
"26",1.01118241373632
"27",1.0154277230467
"28",1.01138364162189
"29",1.01078621266594
"30",1.01374579337252
"31",1.01377989216597
"32",1.01472669103665
"33",1.01433874251245
"34",1.01493812645228
"35",1.014869895639
"36",1.01696721324981
"37",1.01600824243515
"38",1.01571922465235
"39",1.01638701105423
"40",1.01679909915298
