"","V1"
"1",1.00000051592894
"2",0.891219839791103
"3",0.861129848558865
"4",0.835880903520688
"5",0.813037134479957
"6",0.789411904986193
"7",0.769546871771405
"8",0.751100342219944
"9",0.73085922198727
"10",0.705737594852094
"11",0.686429315791154
"12",0.664979841031163
"13",0.642153186035438
"14",0.617643946443667
"15",0.594012899858611
"16",0.569942885625226
"17",0.547189658391697
"18",0.521374577861753
"19",0.495484065652224
"20",0.467066814712021
"21",0.43732247767725
"22",0.408742182193592
"23",0.375764122244323
"24",0.33836337985902
"25",0.311454951469739
"26",0.281170285368628
"27",0.248740571081643
"28",0.211170189321496
"29",0.183556734557003
"30",0.147137309502518
"31",0.115486496103164
"32",0.0914988245342251
"33",0.0618225499819047
"34",0.0464672820821096
"35",0.0204533968130074
"36",0.00997741416297239
"37",0.00434866792677102
"38",-0.00893051345949229
"39",-0.00847085718954397
"40",-0.0101770857004857
