"","V1"
"1",0.0277271073845759
"2",0.0398749768738085
"3",0.0663015361156861
"4",0.0806669817866391
"5",0.0997120265941117
"6",0.111478770285628
"7",0.141410604812318
"8",0.156823329759669
"9",0.176492730730516
"10",0.193565003091373
"11",0.212557294373318
"12",0.238295467831625
"13",0.254149251880833
"14",0.273836113658509
"15",0.289848967688273
"16",0.31760569346165
"17",0.328829032453223
"18",0.351936308931641
"19",0.369746214589174
"20",0.389050567445628
"21",0.40811073869507
"22",0.428093413694394
"23",0.44647088419636
"24",0.465763383678899
"25",0.487218220584777
"26",0.502807722304412
"27",0.523401776517775
"28",0.544272772177838
"29",0.561410433725468
"30",0.581160181561866
"31",0.601946224793136
"32",0.620744268120936
"33",0.637876968990134
"34",0.656219088263303
"35",0.677421006622009
"36",0.697799278082347
"37",0.715029582730658
"38",0.734717908343568
"39",0.753688842770498
"40",0.773696930598819
