"","V1"
"1",1
"2",0.88707200429889
"3",0.855817642924292
"4",0.830008671642838
"5",0.806547195895797
"6",0.7843359328708
"7",0.762847445151331
"8",0.741784997530683
"9",0.720964472304198
"10",0.700263693113304
"11",0.679597519828514
"12",0.658904373260909
"13",0.638138398482584
"14",0.617264643218691
"15",0.596255953908959
"16",0.575090901767678
"17",0.553752353207294
"18",0.532226457998818
"19",0.51050191661198
"20",0.488569439102551
"21",0.466421338469881
"22",0.444051220340702
"23",0.421453742902525
"24",0.398624428895714
"25",0.375559516742709
"26",0.352255841485029
"27",0.328710738692041
"28",0.304921966264754
"29",0.280887640317881
"30",0.256606182238136
"31",0.232076274689302
"32",0.207296824834823
"33",0.182266933424663
"34",0.156985868678726
"35",0.131453044117874
"36",0.105667999662721
"37",0.0796303854520954
"38",0.0533399479365512
"39",0.0267965178840401
"40",0
