liquidassets_adj_p50, netwealth_adj_p50, liquid_to_perm_p50, liquidassets_adj_mean, netwealth_adj_mean, liquid_to_perm_mean
9675,0,.07372922,69037.825,112496.98,5.632147
18540.734,10778,.09825828,80793.922,184277.19,.41596831
27793.939,27447,.11880796,105481.72,286579.05,.44908909
35480.809,43564.129,.12585673,126449.32,371191.7,.44603648
50407.895,109248.48,.14579166,159704.63,488338.47,.4603808
67543.613,202148.25,.16185426,181409.14,551889.3,.43337926
81910.715,264446.94,.17430685,194324.22,583874.89,.40879519
98950.805,360964,.19145639,215819.84,661780.34,.4101995
127260.69,534846.5,.22011368,265581.74,861790.08,.43023866
222498.98,1109556,.29305854,527743.28,2066898,.59264293
