liquidassets_adj_p50, netwealth_adj_p50, liquid_to_perm_p50, liquidassets_adj_mean, netwealth_adj_mean, liquid_to_perm_mean
297.61905,-57215.85,.00139419,1001.2771,4891.3357,.51276398
7695.1758,-53973.688,.03312837,7599.7441,-12151.11,.79170572
14289.216,-41295.465,.05536184,14393.387,13532.617,.71708221
23066.666,-15285.102,.07064133,23250.181,78766.431,1.0643235
36183.98,30172.121,.09303857,36471.495,187653.77,.98551293
56555.555,70396.367,.1353951,57071.104,339556.08,1.1863298
89740.195,261968.46,.20664866,90755.477,544424.45,1.1900251
147996.95,514603.75,.32861575,150252.68,813465.14,1.2860394
265945.03,869819.91,.57235074,273761.25,1217151.5,1.2770166
646720.63,1750247.8,1.3842278,948313.37,2707113.4,2.5650717
