liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
10598.685,0,.07728086,148838.09,72396.636,159499.37,.80567473,147783.05
18291.531,9564.9102,.09583733,194059.23,78245.564,181279.6,.91268504,203384.06
25393.574,18724,.10935047,237853.08,91681.732,240693.84,.36853665,245936.97
31198.283,24985.343,.11125033,286424.34,110798.35,309396.4,.37023575,295928.32
44413.973,62348.484,.12838178,352615.16,140839.3,394176.06,.37881894,362557.27
62732.629,165353.24,.15125638,436465.63,163503.7,478402.3,.38045827,436733.32
76876.371,249099.26,.16548157,498724,174977.05,527509.4,.36509474,497660.17
90046.461,342332.31,.17803602,554380.88,188477.09,609488.84,.3548744,552826.12
106668.04,469836.69,.19190178,621542.47,214316.85,758548.72,.37818329,619315.27
144283.47,683119.84,.22409755,713438.31,332610.51,1196209.3,.41665369,773093.83
