liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
9675,0,.07372922,133579.31,69037.825,112496.98,5.632147,108310
18540.734,10778,.09825828,191006.58,80793.922,184277.19,.41596831,191958.75
27793.939,27447,.11880796,238744.59,105481.72,286579.05,.44908909,239326.48
35480.809,43564.129,.12585673,288173.09,126449.32,371191.7,.44603648,289620.16
50407.895,109248.48,.14579166,349008,159704.63,488338.47,.4603808,351420.18
67543.613,202148.25,.16185426,424785.09,181409.14,551889.3,.43337926,425625.91
81910.715,264446.94,.17430685,490767.77,194324.22,583874.89,.40879519,492202.12
98950.805,360964,.19145639,553068.81,215819.84,661780.34,.4101995,555349.49
127260.69,534846.5,.22011368,630864.94,265581.74,861790.08,.43023866,635315.59
222498.98,1109556,.29305854,803739.38,527743.28,2066898,.59264293,958194
