liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
297.61905,-57215.85,.00139419,199173.98,1001.2771,4891.3357,.51276398,234912.99
7695.1758,-53973.688,.03312837,219467.11,7599.7441,-12151.11,.79170572,259148.72
14289.216,-41295.465,.05536184,256202.27,14393.387,13532.617,.71708221,296900.7
23066.666,-15285.102,.07064133,321889.78,23250.181,78766.431,1.0643235,351801.77
36183.98,30172.121,.09303857,393336.81,36471.495,187653.77,.98551293,398276.3
56555.555,70396.367,.1353951,427804.34,57071.104,339556.08,1.1863298,426342.61
89740.195,261968.46,.20664866,448086.55,90755.477,544424.45,1.1900251,447699.36
147996.95,514603.75,.32861575,469125.25,150252.68,813465.14,1.2860394,470909.32
265945.03,869819.91,.57235074,492416.58,273761.25,1217151.5,1.2770166,501835.21
646720.63,1750247.8,1.3842278,534441.63,948313.37,2707113.4,2.5650717,618187.85
