liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
343.2836,-65737.16,.00129844,235954.77,9543.4263,20228.639,-.65204639,278211.54
9034.4063,-71740.609,.02852669,322867.69,10373.864,26252.936,.02821015,361421.17
16516.162,-52067.66,.05110817,317690.8,18412.387,49505.58,.05110598,358109.41
23998.928,-22775.805,.07353739,324795.34,26613.428,109843.15,.07381163,363733.32
38539.121,13956.07,.10330969,373576.66,40298.021,238999.68,.10409618,394175.83
61764.258,71630.953,.15190659,413386.69,63330.907,415474.25,.15320744,422788.86
98116.266,271014.03,.23222321,433622.77,100962.6,629595.48,.23449715,442611.1
158519.39,504349.63,.36997303,443749.69,165245.99,886845.04,.37509379,456893.84
273997.31,816330.94,.64487159,445662.23,296549.95,1269964.5,.66323171,470039.79
613131,1396050,1.5538497,382825.94,873289.01,2254073.8,10.551439,462567.92
