liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
27931.402,-663036,.06632393,462133.34,85265.683,-1106773.1,.43460845,464401.51
18204.219,-251926.16,.05837174,341627.23,42010.821,-260004.79,.22091174,361011.03
14535.714,-105712.07,.05826605,261039.55,33942.902,-108026.77,.36299555,299643.81
10877.337,-20730.914,.05356197,209310.13,26654.045,-22699.481,.69561724,242657.5
30504.381,28609.697,.12432476,236804.91,49431.087,34981.685,4.1933072,278546.34
81772.074,188994.02,.21085507,358876.27,112720.7,193502.37,1.7439032,379541.47
80474.234,466686.28,.20023382,414076.92,147166.69,470531.24,.8667901,415336.63
108275.5,847649.59,.25650811,445301.64,191146.13,856002.04,.67765888,443572.45
166865.45,1444659.4,.36445621,484367.09,275562.88,1472513,.94490679,487229.73
325733.41,2983543.5,.60665494,554262.69,638968.24,4364375.6,1.4394493,634073.45
